id,title,problem,idea,impact,agree,disagree
12,"新增捷運","在新竹常常有公車問題，若新增捷運航線可能可以解決","解運從竹北到新竹火車站可以作為一個路線","減少交通問題",2,0
7,"公車啟動停止提醒","新竹公車作為許多民眾的交通選擇之一，尤其是老年人及小孩，然而每次搭車的體感在啟動及減速時都是又急又危險。","仿照日本公車駕駛，在每一次的啟動或減速前，都會通過車上廣播系統簡短的提醒民眾注意。","搭乘公車的安全性及舒適性可以提升，避免跌倒推擠意外發生率",12,9
19,"來解決新竹大塞車難題吧！","只要一到上下班尖峰時間，新竹便無處不塞。","1. 增生更多像先導公車這些路線方便的公車，尤其是尖峰時段加開，減少上不去公車而只好自己開車／騎車通勤的動機。 2. 定期舉辦公車相關活動，例如：在公車內設立集點站，集滿點數即可抽獎獲得超商禮券等等。讓大家更願意去搭乘大眾運輸工具。 3. 建設捷運，幫助交通分流。","減少尖峰時段塞車情況，並增加民眾使用大眾運輸工具的意願。",1,0
13,"解決新竹上下班尖峰壅塞的「隊列釋放與速度協調」方案","新竹在上下班尖峰常出現「交通震盪波」：前車延遲起步 1 秒，後車反應時間與加減速疊加，形成 n+1 的遞延，導致綠燈也無法有效釋放車流。加上匯入瓶頸、號誌未協調、臨停占道與左轉干擾等因素，使幹道與園區周邊路口長時間壅塞、通行效率低落。","以「政府統一協調車流」為概念，導入智慧化與低成本並行的組合拳： 1. 智慧號誌與綠波帶：導入自適應號誌（ASCT），依即時流量調整相位與綠時，串接幹道綠波。 2. 隊列式釋放：在紅燈期間完成排隊偵測，綠燈一到以「統一起步指令」與建議目標速度協調起步（車聯網 RSU/APP 或路口起步倒數+聲光提示），減少起步落差。 3. 速度協調/可變速限：於幹道前段以可變速限與提示牌抑制急煞、縮小車距波動，消除震盪波源頭。 4. 節流匯入（Ramp Metering）：在匯入/匝道口以簡易號誌節流，避免主線被瞬間擠爆。 5. 公車優先與接駁：公車號誌優先（PTPS）＋園區接駁增班，提升載客效率。 6. 低成本快做：設置起步倒數燈、地面「跟車距離線」、黃線嚴禁臨停與路口箱形禁停格；左轉分離相位或移設待轉區。 7. 中長期配套：C-ITS 示範路廊（V2I 訊息推播「建議起步時距/速度」）、企業彈性上班、共乘與 P&R。 宣傳以趣味「貢丸車隊」作比喻：統一速度、同時起步＝更快更順，提升民眾理解與參與度。","KPI（一年內示範路廊）： 1. 尖峰平均旅行時間 -15%～-25% 2. 路口綠燈通行車數 +10%～+20% 3. 急減速/煞停事件 -30%（由感測或車隊數據估算） 4. 公車準點率 +15% 社會影響： 降低碳排與噪音、提升通勤可預測性與園區競爭力，減少因壅塞造成的時間成本與事故風險，改善周邊居民生活品質。同時以「貢丸車隊」的趣味宣導強化參與與遵從，推動交通文化從「各開各的」轉為「協同前進」。",3,3
15,"新竹市區的街友問題","平常放學去火車站旁邊常常有一大群街友在那躺著或者抽煙，還有隨地大小便","找個集會所安置這些街友，協助融入社會，或者送去醫療救治","能夠減少路邊街友的數量，晚上走路不會那麼可怕，新竹市區也會比較美觀",0,0
9,"新竹吉祥物","台南都有虱目魚吉祥物魚頭君，幫助縣市宣傳。我認為新竹除卻美食沙漠外，應該也要有能提升市知名度的吉祥物。","設計與貢丸、風相關的吉祥物，並籌辦一系列相關活動打響名氣。","讓新竹被大家看見。",5,2
14,"減輕父母負擔","目前政府推行0-6歲國家一起幫你養，讓有小孩的父母親每月可領到相關補助，但國小之後並無每月相關補助，目前大多雙薪家庭，小孩放學大多送安親班待下班後再去接，安親班每月費用也是不少，讓父母親擔憂花費。","建議政府補助安親班費用","提升生育率及降低少子化影響，這是刻不容緩要立刻去做的事，0-6歲部分已經開個頭了，6歲以後也要繼續做下去，讓父母親擔憂的事情能依依減輕，這社會能給予養育小孩家庭更多支援，讓他們能放心生育，然後安心養育，進而降低少子化對社會影響。",2,1
18,"交通暢行","公車班次太少","希望可以增加新竹公車的班次","交通可以更方便",1,0
10,"智慧城市民眾參與","雖然新竹市推動智慧城市，但許多民眾不清楚有哪些服務或參與方式，容易形成政策落差。","推出「市民APP」整合交通、租屋、活動、投訴反映等功能。 定期舉辦「市民黑客松」或「政策協作會議」，讓民眾直接參與討論。 增加雙語化與無障礙數位服務，讓更多市民能方便使用。","市民知悉政府推行之政策，便民又深刻",7,7
20,"禮讓行人","車子都不讓行人","人情壓力","減少交通事故發生率",1,0
